dataset,standalone_tau,standalone_speedup,vllm_tau,vllm_speedup,gpu_paper_tau,gpu_paper_speedup,standalone_tau_pct_of_gpu,vllm_tau_pct_of_gpu
gsm8k,4.24,1.37,4.75,1.5,6.53,5.15,64.9,72.7
math500,8.72,5.7,4.75,3.98,7.84,6.09,111.3,60.6
aime24,6.32,3.93,4.75,3.26,7.27,5.68,86.9,65.3
aime25,6.48,4.18,4.75,4.45,6.64,5.21,97.6,71.5
AVERAGE,6.44,3.79,4.75,3.3,7.07,5.53,90.18,67.53
