metric,value
tau,4.75
draft_acceptance_rate,0.25
num_drafts,1837
num_draft_tokens,27555
num_accepted_tokens,6889
acceptance_pos_0,0.6913
acceptance_pos_1,0.5063
acceptance_pos_2,0.3941
acceptance_pos_3,0.331
acceptance_pos_4,0.2754
acceptance_pos_5,0.258
acceptance_pos_6,0.2357
acceptance_pos_7,0.2118
acceptance_pos_8,0.19
acceptance_pos_9,0.1557
acceptance_pos_10,0.1421
acceptance_pos_11,0.1132
acceptance_pos_12,0.0953
acceptance_pos_13,0.0838
acceptance_pos_14,0.0664
