dataset,method,num_prompts,num_ok,num_error,tpot_ms,tps,speedup
gsm8k,baseline,8,8,0,10.64,94.0,
math500,baseline,8,8,0,10.64,94.0,
aime24,baseline,8,8,0,10.63,94.1,
aime25,baseline,8,8,0,10.63,94.1,
gsm8k,dflash,8,8,0,7.1,140.9,1.5
math500,dflash,8,8,0,2.67,373.9,3.98
aime24,dflash,8,8,0,3.26,306.7,3.26
aime25,dflash,8,8,0,2.39,418.2,4.45
OVERALL,baseline,32,32,0,10.63,94.0,1.0
OVERALL,dflash,32,32,0,3.86,259.3,2.76
