dataset,method,num_prompts,num_ok,num_error,tpot_ms,tps,speedup
gsm8k,baseline,8,8,0,10.72,93.3,
math500,baseline,8,8,0,10.71,93.4,
aime24,baseline,8,8,0,10.75,93.0,
aime25,baseline,8,8,0,10.81,92.5,
gsm8k,eagle3,8,8,0,8.04,124.3,1.33
math500,eagle3,8,8,0,7.86,127.3,1.36
aime24,eagle3,8,8,0,8.24,121.3,1.3
aime25,eagle3,8,8,0,8.15,122.6,1.33
OVERALL,baseline,32,32,0,10.75,93.1,1.0
OVERALL,eagle3,32,32,0,8.07,123.9,1.33
