dataset,standalone_tau,standalone_speedup,vllm_tau,vllm_speedup,gpu_paper_tau,gpu_paper_speedup,standalone_tau_pct_of_gpu,vllm_tau_pct_of_gpu
gsm8k,5.17,3.36,4.48,2.05,6.53,5.15,79.1,68.6
math500,8.72,5.7,4.48,2.18,7.84,6.09,111.3,57.1
aime24,6.32,3.93,4.48,2.52,7.27,5.68,86.9,61.6
aime25,6.48,4.18,4.48,2.56,6.64,5.21,97.6,67.4
AVERAGE,6.67,4.29,4.48,2.33,7.07,5.53,93.72,63.67
