dataset,tau,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15
gsm8k,4.25,1.0,0.875,0.625,0.625,0.3125,0.25,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0
math500,8.8,1.0,0.959,0.841,0.759,0.6923,0.6359,0.5949,0.5282,0.4821,0.4513,0.3846,0.3487,0.3231,0.3026,0.2718,0.2256
aime24,6.48,1.0,0.8869,0.7279,0.6325,0.4947,0.4382,0.4064,0.3569,0.2898,0.2721,0.2367,0.1979,0.1696,0.1484,0.1201,0.106
aime25,6.14,1.0,0.8687,0.7374,0.596,0.5219,0.431,0.367,0.2929,0.2525,0.229,0.2121,0.1818,0.1448,0.1212,0.101,0.0842
