metric,value
tau,4.84
draft_acceptance_rate,0.256
num_drafts,1799
num_draft_tokens,26985
num_accepted_tokens,6909
acceptance_pos_0,0.7004
acceptance_pos_1,0.517
acceptance_pos_2,0.4113
acceptance_pos_3,0.3441
acceptance_pos_4,0.2913
acceptance_pos_5,0.2713
acceptance_pos_6,0.244
acceptance_pos_7,0.2162
acceptance_pos_8,0.1912
acceptance_pos_9,0.1534
acceptance_pos_10,0.1417
acceptance_pos_11,0.1151
acceptance_pos_12,0.0923
acceptance_pos_13,0.0823
acceptance_pos_14,0.0689
