dataset,tpu_tau,tpu_speedup,tpu_baseline_tps,tpu_dflash_tps,gpu_paper_tau,gpu_paper_speedup,tau_pct_of_gpu
gsm8k,4.25,1.03,159.7,163.8,6.53,5.15,65.1
math500,8.8,4.93,156.9,772.7,7.84,6.09,112.2
aime24,6.48,3.57,158.4,565.0,7.27,5.68,89.2
aime25,6.14,3.39,156.9,532.0,6.64,5.21,92.5
AVERAGE,6.42,3.23,158.0,508.4,7.07,5.53,90.8
